Frequency,Channel A,Channel C
(ms),(V),(mV)

-201.92913846,-0.10566480,-3.23525800
-201.82913846,-0.09797338,-2.96056600
-201.72913847,-0.09357832,-3.76938100
-201.62913847,-0.08918325,-3.50995000
-201.52913847,-0.08478818,-3.50995000
-201.42913847,-0.07819558,-3.23525800
-201.32913848,-0.07154194,-3.23525800
-201.22913848,-0.06714687,-2.70113500
-201.12913848,-0.06165303,-2.96056600
-201.02913848,-0.05835673,-2.96056600
-200.92913849,-0.05176413,-3.50995000
-200.82913849,-0.04297400,-2.96056600
-200.72913849,-0.04077646,-2.96056600
-200.62913849,-0.03302405,-2.96056600
-200.52913850,-0.02972775,-2.96056600
-200.42913850,-0.02423391,-3.23525800
-200.32913850,-0.01764131,-3.23525800
-200.22913850,-0.01214748,-2.96056600
-200.12913851,-0.00775241,-2.70113500
-200.02913851,0.00000000,-2.15175200
-199.92913851,0.00329630,-2.70113500
-199.82913851,0.00988890,-2.42644400
-199.72913852,0.01538274,-1.89232100
-199.62913852,0.02087657,-2.70113500
-199.52913852,0.02637041,-2.42644400
-199.42913852,0.03186424,-2.42644400
-199.32913853,0.03735808,-2.15175200
-199.22913853,0.04291295,-1.35819800
-199.12913853,0.04620925,-2.15175200
-199.02913853,0.05280185,-1.89232100
-198.92913854,0.05829569,-1.89232100
-198.82913854,0.06598706,-1.89232100
-198.72913854,0.07257966,-1.89232100
-198.62913854,0.07697473,-1.35819800
-198.52913855,0.08252960,-1.61762900
-198.42913855,0.08692467,-1.89232100
-198.32913855,0.09351727,-2.15175200
-198.22913855,0.10010990,-1.61762900
-198.12913856,0.10560370,-1.08350600
-198.02913856,0.11109750,-1.61762900
-197.92913856,0.11549260,-1.89232100
-197.82913857,0.12214630,-1.08350600
-197.72913857,0.12764010,-1.35819800
-197.62913857,0.13313390,-1.35819800
-197.52913857,0.13862780,-0.80881450
-197.42913858,0.14412160,-0.80881450
-197.32913858,0.14851670,-0.80881450
-197.22913858,0.15510930,-0.54938340
-197.12913858,0.16066410,-0.54938340
-197.02913859,0.16615800,-1.08350600
-196.92913859,0.17055300,-0.54938340
-196.82913859,0.17824440,-0.54938340
-196.72913859,0.18373820,0.00000000
-196.62913860,0.18813330,0.53412280
-196.52913860,0.19588570,-0.80881450
-196.42913860,0.20028080,-0.27469170
-196.32913860,0.20687340,0.25943110
-196.22913861,0.21236720,0.00000000
-196.12913861,0.21786110,-0.27469170
-196.02913861,0.22335490,0.00000000
-195.92913861,0.22884870,0.53412280
-195.82913862,0.23330480,0.53412280
-195.72913862,0.23989740,0.53412280
-195.62913862,0.24758880,0.79355380
-195.52913862,0.25198390,1.60236800
-195.42913863,0.25747770,1.34293700
-195.32913863,0.26297160,1.34293700
-195.22913863,0.26626780,1.34293700
-195.12913863,0.27292150,1.34293700
-195.02913864,0.27841530,1.87706000
-194.92913864,0.28500790,2.13649100
-194.82913864,0.29050180,2.13649100
-194.72913864,0.29819310,1.60236800
-194.62913865,0.30258820,2.41118300
-194.52913865,0.30698330,2.13649100
-194.42913865,0.31473570,2.41118300
-194.32913865,0.31913070,2.13649100
-194.22913866,0.32462460,2.68587400
-194.12913866,0.33011840,2.68587400
-194.02913866,0.33561220,2.68587400
-193.92913866,0.34110610,2.94530600
-193.82913867,0.34550120,3.21999700
-193.72913867,0.35215480,2.68587400
-193.62913867,0.35654990,3.75412000
-193.52913867,0.36204370,4.02881200
-193.42913868,0.36863630,2.94530600
-193.32913868,0.37413010,4.02881200
-193.22913868,0.37962400,3.75412000
-193.12913868,0.38621660,3.75412000
-193.02913869,0.39177140,4.56293400
-192.92913869,0.39726530,4.83762600
-192.82913869,0.40056160,4.83762600
-192.72913869,0.40715420,4.56293400
-192.62913870,0.41154930,5.37174900
-192.52913870,0.41814180,4.83762600
-192.42913870,0.42363570,5.37174900
-192.32913870,0.42919060,5.09705700
-192.22913871,0.43468440,5.90587200
-192.12913871,0.43907950,5.90587200
-192.02913871,0.44347450,5.90587200
-191.92913871,0.45006710,6.71468600
-191.82913872,0.45556100,6.98937800
-191.72913872,0.46105480,6.18056300
-191.62913872,0.46544990,6.71468600
-191.52913872,0.46990600,6.43999500
-191.42913873,0.47869610,7.78293200
-191.32913873,0.48419000,7.52350100
-191.22913873,0.48858500,7.24880900
-191.12913873,0.49407890,8.59174600
-191.02913874,0.49957270,8.05762400
-190.92913874,0.50506650,8.33231500
-190.82913874,0.51062140,8.33231500
-190.72913874,0.51611520,8.86643800
-190.62913875,0.52051030,9.14112900
-190.52913875,0.52600410,8.86643800
-190.42913875,0.53039920,9.67525300
-190.32913875,0.53589300,9.93468400
-190.22913876,0.54028810,9.67525300
-190.12913876,0.54694180,9.93468400
-190.02913876,0.55133680,10.20938000
-189.92913876,0.55683060,10.20938000
-189.82913877,0.56232450,10.48407000
-189.72913877,0.56671950,11.29288000
-189.62913877,0.57221340,11.01819000
-189.52913877,0.57550970,10.74350000
-189.42913878,0.58210230,11.82700000
-189.32913878,0.58765720,11.82700000
-189.22913878,0.59205220,12.89525000
-189.12913878,0.59644730,12.36113000
-189.02913879,0.60303990,13.16994000
-188.92913879,0.60633620,13.16994000
-188.82913879,0.61292880,12.36113000
-188.72913879,0.61732390,12.89525000
-188.62913880,0.62287880,13.97876000
-188.52913880,0.62727380,14.51288000
-188.42913880,0.63166890,14.78757000
-188.32913881,0.63716270,16.38994000
-188.22913881,0.64045910,16.38994000
-188.12913881,0.64595290,16.93932000
-188.02913881,0.65144670,16.93932000
-187.92913882,0.65694050,17.19875000
-187.82913882,0.66139660,18.00757000
-187.72913882,0.66579170,18.00757000
-187.62913882,0.67128560,18.54169000
-187.52913883,0.67458180,19.07581000
-187.42913883,0.67897690,19.62520000
-187.32913883,0.68337200,20.43401000
-187.22913883,0.68886580,20.69344000
-187.12913884,0.69326090,21.50226000
-187.02913884,0.69875470,22.31107000
-186.92913884,0.70321080,22.84519000
-186.82913884,0.70760590,23.11989000
-186.72913885,0.71200100,23.37932000
-186.62913885,0.71529730,23.92870000
-186.52913885,0.72188990,24.72225000
-186.42913885,0.72518620,25.27164000
-186.32913886,0.72958120,25.53107000
-186.22913886,0.73507510,25.53107000
-186.12913886,0.73843240,26.08045000
-186.02913886,0.74392620,26.33988000
-185.92913887,0.74942010,26.87401000
-185.82913887,0.75271640,27.42339000
-185.72913887,0.75711140,27.95751000
-185.62913887,0.76040770,27.95751000
-185.52913888,0.76700040,28.49163000
-185.42913888,0.76919790,29.30045000
-185.32913888,0.77359290,29.57514000
-185.22913888,0.77804910,30.10926000
-185.12913889,0.78134540,30.36869000
-185.02913889,0.78683920,30.91808000
-184.92913889,0.79123430,31.17751000
-184.82913889,0.79453060,32.52045000
-184.72913890,0.79892560,34.94689000
-184.62913890,0.80112310,35.75571000
-184.52913890,0.80661700,36.56452000
-184.42913890,0.80991330,37.37333000
-184.32913891,0.81430840,38.71627000
-184.22913891,0.81766570,39.52509000
-184.12913891,0.82206080,39.52509000
-184.02913891,0.82755460,39.78452000
-183.92913892,0.82865340,40.59333000
-183.82913892,0.83414720,41.40215000
-183.72913892,0.83744350,40.86802000
-183.62913892,0.84293740,41.40215000
-183.52913893,0.84623370,43.27921000
-183.42913893,0.84953000,43.55390000
-183.32913893,0.85508480,44.36271000
-183.22913893,0.85838120,45.17153000
